storeId,storeName,postalCode,latitude,longitude
1789,4 Wheel Parts-Off Road Truck & Jeep 4x4 Parts,75243,32.90006735,-96.7669922
11137,Academy Sports + Outdoors,75231,32.86819173,-96.75970997
11918,Ace Hardware of Richardson,75240,32.93535396,-96.82061586
15501,Best Buy Midway/LBJ,75225,32.8686505,-96.7737069
15970,Best Buy Park Lane,75237,32.65931535,-96.87722159
16027,Bike Mart - Dallas Preston Hollow,75205,32.8505666,-96.7882806
16957,Bike Mart - White Rock Lake,75218,32.82799815,-96.7085228
21825,Boot Barn,75214,32.85470538,-96.73162158
22454,Cavender's Boot City,75225,32.8642935,-96.7742085
22751,Cavender's Boot City,75230,32.90511663,-96.79462961
22756,Cavender's Boot City,75206,32.83342661,-96.77344306
24262,Champs Sports,75225,32.86729326,-96.77180964
32178,Champs Sports,75244,32.92715395,-96.83809116
32505,Champs Sports,75231,32.87541539,-96.76716616
33778,Competitive Cameras Ltd,75229,32.88718539,-96.89694159
77626,Dallas Bike Works,75231,32.86060578,-96.75356986
